id_base out_group_openness bundesland frau alter migrant schulabschl wohnort religiousness reli_group relig_comm hierarchie hh_income_i hh_size hat_kinder employment Care Fairness Authority Loyalty Purity Liberty authorit zeitungen internet fernsehen radiosender social_media f_online_rel_behavior f_online_intensity control soc_trust Greece Italie Poland Romania former_SU former_Yugo Spain_Portugal Syria Turkey Vietnam other NA NET_Europe deutsch s_east_europa other_mig
1 -.66589004 9 0 3 0 4 1 1 2 2 5 32.5 5 1 1 3.5 6 6 4 6 5.5 5 1 6 5 5 6 4.0627294 3.0803456 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
2 1.7236514 5 1 5 0 2 4 4 2 2 6 17.5 2 0 8 5 6 6 5 5.5 3 5 3 6 6 6 6 2.6417458 5.2588844 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
3 .98826289 5 0 4 0 3 4 2 7 1 2 7.5 1 0 5 5.5 6 4 5.5 4 4 1 6 5 6 1 1 2.5988288 2.8250437 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
4 .84037787 5 1 6 0 2 4 4 1 3 7 17.5 1 0 5 6 6 4 5 5.5 4.5 3 2 6 5 3 5 2.3824363 4.0781546 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
5 -.0065273773 9 0 6 0 1 4 2 2 2 6 17.5 1 0 5 4.5 4.5 3.5 4 4.5 4.5 2 3 5 6 1 1 1.1810277 4.9919004 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
6 -.16282971 6 1 2 0 2 1 1 7 1 8 32.5 3 1 1 4.5 5.5 3 3.5 5.5 5 1 3 6 6 6 3 1.0491931 5.3665075 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
7 -.024674697 8 0 4 0 2 2 4 1 3 7 27.5 2 0 1 5 5 4.5 3.5 5 3.5 5 4 6 6 6 6 2.7433147 4.3742771 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
8 .81780344 3 1 4 0 2 1 1 7 1 6 45 3 1 1 6 5.5 5.5 4 5.5 4.5 2 6 5 6 6 6 2.5544145 5.6527371 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
9 .8593654 5 1 3 0 2 4 1 2 2 7 32.5 3 0 2 5.5 5 3.5 4 4 4 2 2 6 6 6 3 2.3793902 3.9243922 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
10 1.6075357 6 1 4 0 1 3 4 2 2 8 27.5 4 0 8 6 6 5 4.5 5.5 4 6 4 5 6 2 2 1.5509555 2.9023707 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
